Wall time,Step,Value
1716345224.7917793,32542,4.0
1716345225.8808594,32545,3.999999761581421
1716345249.254135,32611,4.0
1716345250.4227448,32614,4.0
1716345266.1884756,32657,4.0
1716345284.2991128,32706,4.0
1716345306.4600458,32762,4.0
1716345355.568978,32894,4.0
1716345358.0065358,32901,4.0
1716345358.431913,32902,4.0
1716345362.658801,32909,4.0
1716345434.6597676,33002,3.999999761581421
1716345444.3512163,33014,4.0
1716345451.1845894,33027,4.0
1716345453.7603645,33034,4.0
1716345546.8490846,33148,4.0
1716345548.1909919,33152,4.0
1716345558.3427525,33179,4.0
1716345559.0318794,33181,4.0
1716345583.4326303,33248,4.0
1716345591.956819,33271,4.0
1716345617.404795,33341,4.0
1716345621.0596554,33351,3.999999761581421
1716345627.2759895,33368,4.0
1716345629.9818478,33375,4.0
1716345631.0523324,33378,3.999999761581421
1716345640.0669188,33403,4.0
1716345689.5315824,33539,4.0
1716345723.7525315,33631,3.999999761581421
1716345726.350237,33638,4.0
1716345759.386058,33728,4.0
1716345762.6718345,33737,3.999999761581421
1716345766.9620445,33749,4.0
1716345773.5657482,33768,4.0
1716345779.8035886,33785,4.0
1716345785.2657695,33800,4.0
1716345799.2815318,33839,4.0
1716345803.663296,33851,4.0
1716345812.8286645,33876,4.0
1716345823.9232948,33906,4.0
1716345826.442909,33913,4.0
1716345847.2041018,33971,4.0
1716345863.73497,34017,4.0
1716345871.0724776,34036,4.0
1716345873.5034728,34043,4.0
1716345890.4627044,34089,4.0
1716345960.8489618,34141,4.0
1716345961.9471562,34144,4.0
1716345974.7237737,34179,3.999999761581421
1716346020.4100678,34306,4.0
1716346021.3999732,34309,4.0
1716346040.041174,34361,4.0
1716346040.445319,34362,4.0
1716346047.9065795,34383,3.999999761581421
1716346067.8872015,34438,4.0
1716346099.848286,34525,4.0
1716346100.2701674,34526,4.0
1716346113.9401362,34564,4.0
1716346119.3587904,34579,4.0
1716346126.63069,34599,4.0
1716346129.91333,34608,4.0
1716346144.1730394,34647,4.0
1716346162.206214,34696,4.0
1716346181.7057338,34751,4.0
1716346193.785111,34783,4.0
1716346201.8548229,34805,3.999999761581421
1716346228.6488688,34878,4.0
1716346284.6742072,35030,4.0
1716346354.210381,35079,4.0
1716346367.5249228,35115,4.0
1716346390.394119,35177,4.0
1716346418.3773446,35254,4.0
1716346419.419761,35257,4.0
1716346447.1289327,35333,4.0
1716346454.5282793,35354,4.0
1716346457.684786,35362,4.0
1716346462.4777563,35375,4.0
1716346463.1837811,35377,4.0
1716346465.3332324,35383,4.0
1716346501.0077205,35481,4.0
1716346501.9196882,35483,4.0
1716346533.4336164,35570,4.0
1716346534.436571,35573,4.0
1716346544.2045946,35600,4.0
1716346607.3032708,35771,4.0
1716346609.637341,35778,4.0
1716346634.3771677,35844,4.0
1716346636.3256176,35849,3.999999761581421
1716346674.4448075,35953,3.999999761581421
1716346680.4617314,35970,4.0
1716346755.8369222,36037,4.0
1716346762.9099061,36057,4.0
1716346778.0873418,36098,3.999999761581421
1716346801.904874,36164,3.999999761581421
1716346820.814021,36216,4.0
1716346826.2124603,36231,3.999999761581421
1716346831.6175108,36246,4.0
1716346837.5800169,36262,3.999999761581421
1716346842.4418187,36275,4.0
1716346855.305224,36310,4.0
1716346862.44092,36329,4.0
1716346865.4088817,36336,4.0
1716346950.1347802,36569,4.0
1716346972.4685483,36629,4.0
1716346983.345885,36659,4.0
1716346990.605931,36678,4.0
1716347023.7347484,36767,4.0
1716347038.0739772,36806,4.0
1716347039.6795037,36810,4.0
1716347042.891904,36819,3.999999761581421
1716347044.9927523,36825,3.999999761581421
1716347054.0008855,36850,4.0
1716347074.6146762,36907,4.0
1716347142.0255084,36950,4.0
1716347182.079445,37053,3.999999761581421
1716347205.053845,37114,3.999999761581421
1716347226.855769,37169,4.0
1716347239.2886474,37202,3.999999761581421
1716347280.6188445,37311,4.0
1716347282.997818,37317,4.0
1716347286.5772896,37326,4.0
1716347335.6212108,37455,4.0
1716347348.4116144,37489,4.0
1716347376.2066,37561,4.0
1716347410.498868,37649,4.0
1716347449.4509892,37745,4.0
1716347456.7441103,37764,4.0
1716347473.2865021,37807,4.0
1716347499.595461,37876,4.0
1716347629.2278838,38091,4.0
1716347666.4592843,38192,4.0
1716347686.5354984,38247,4.0
1716347691.9043882,38262,4.0
1716347717.7995818,38331,3.999999761581421
1716347729.890079,38365,4.0
1716347756.582502,38439,4.0
1716347762.2758815,38455,3.999999761581421
1716347766.3189762,38466,4.0
1716347778.9792616,38500,4.0
1716347808.173318,38580,3.999999761581421
1716347830.3278944,38641,3.999999761581421
1716347830.7035513,38642,4.0
1716347851.9271872,38700,3.999999761581421
1716347859.2702205,38720,4.0
1716347874.9026332,38763,4.0
1716347876.8537555,38768,4.0
1716347953.9118772,38840,4.0
1716348005.8349655,38981,4.0
1716348014.6356947,39004,4.0
1716348014.9083102,39005,4.0
1716348016.007777,39008,4.0
1716348063.3753266,39141,4.0
1716348098.87932,39237,4.0
1716348120.3611357,39296,3.999999761581421
1716348124.522766,39307,4.0
1716348211.8776171,39548,4.0
1716348227.714565,39591,4.0
1716348242.2194686,39632,4.0
1716348267.7317026,39702,4.0
1716348278.077017,39730,4.0
1716348349.9923327,39781,4.0
1716348385.9962852,39878,3.999999761581421
1716348388.9871163,39886,3.999999761581421
1716348397.2545857,39909,4.0
1716348398.9602394,39914,4.0
1716348404.9979746,39931,4.0
1716348423.8179712,39982,4.0
1716348437.367694,40020,4.0
1716348511.386796,40224,4.0
1716348538.9882803,40296,4.0
1716348577.6305861,40401,4.0
1716348609.1864593,40488,4.0
1716348613.512046,40500,4.0
1716348625.2509089,40532,4.0
1716348635.4983094,40560,4.0
1716348667.0401454,40647,4.0
1716348670.5179996,40657,4.0
1716348672.749506,40663,3.999999761581421
1716348674.3642025,40667,4.0
1716348685.7923996,40698,4.0
1716348686.5353153,40700,4.0
1716348691.558002,40714,3.999999761581421
1716348693.6834748,40720,4.0
1716348771.8507285,40793,4.0
1716348840.4035432,40983,4.0
1716348861.2820535,41040,4.0
1716348864.2050965,41047,4.0
1716348893.745333,41128,3.999999761581421
1716348899.5107229,41144,3.999999761581421
1716348902.9867768,41154,4.0
1716348909.1112888,41171,4.0
1716348936.0754678,41244,4.0
1716348946.0520205,41271,4.0
1716348971.338048,41341,4.0
1716348996.1146035,41409,3.999999761581421
1716349001.8735628,41425,4.0
1716349025.8783383,41491,4.0
1716349043.9149313,41539,4.0
1716349049.8120968,41555,4.0
